Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,24,128,70.17,4.52,4.52,4.52,5.03,4771.37
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,28,128,81.43,4.7,4.7,4.7,5.3,5283.02
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,32,128,92.69,4.89,4.89,4.89,5.58,5734.77
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,48,128,137.72,5.64,5.64,5.64,6.67,7196.4
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,56,128,160.23,6.01,6.01,6.01,7.21,7766.99
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,60,128,171.49,6.2,6.2,6.2,7.49,8010.68
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,64,128,182.74,6.38,6.38,6.38,7.76,8247.42
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,96,128,272.8,7.87,7.87,7.87,9.94,9657.95
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,112,128,317.83,8.62,8.62,8.62,11.04,10144.93
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,128,128,362.85,9.37,9.37,9.37,12.13,10552.35
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,256,128,723.07,18.52,18.52,18.52,24.02,10657.79
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,512,128,1443.52,36.88,36.88,36.88,47.87,10695.63
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,1,128,3.62,3.45,3.51,3.48,3.48,287.36
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,4,128,13.89,3.59,3.86,3.72,3.74,1069.52
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,16,128,47.66,4.14,5.24,4.69,4.77,3354.3
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,24,128,70.17,4.52,6.15,5.33,5.46,4395.6
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,28,128,81.43,4.7,6.61,5.66,5.8,4827.59
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,32,128,92.69,4.89,7.07,5.98,6.15,5203.25
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,48,128,137.72,5.64,8.91,7.27,7.52,6382.98
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,56,128,160.23,6.01,9.82,7.91,8.21,6820.95
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,60,128,171.49,6.2,10.28,8.24,8.55,7017.54
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,64,128,182.74,6.38,10.74,8.56,8.9,7191.01
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,96,128,272.8,7.87,14.41,11.14,11.65,8240.34
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,112,128,317.83,8.62,16.25,12.43,13.02,8602.15
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,128,128,362.85,9.37,18.09,13.72,14.4,8888.89
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,256,128,723.07,18.52,35.96,27.22,28.58,8957.31
Llama2-7B,IntelGaudi2C,1,1,FP8,128,512,512,128,1443.52,36.88,71.76,54.28,57.0,8982.46
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,FP8,512,128,1,128,14.43,3.51,3.51,3.51,3.6,277.78
