Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,1,128,25.66,24.84,24.84,24.84,24.84,40.26
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,4,128,98.38,24.95,24.95,24.95,25.52,156.74
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,16,128,335.9,25.39,25.39,25.39,27.82,575.13
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,24,128,494.25,25.69,25.69,25.69,29.35,817.72
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,28,128,573.43,25.84,25.84,25.84,30.11,929.92
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,32,128,652.6,25.98,25.98,25.98,30.88,1036.27
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,48,128,969.3,26.58,26.58,26.58,33.94,1414.26
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,56,128,1127.65,26.87,26.87,26.87,35.47,1578.8
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,60,128,1206.82,27.02,27.02,27.02,36.24,1655.63
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,64,128,1285.99,27.17,27.17,27.17,37.01,1729.26
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,96,128,1919.39,28.36,28.36,28.36,43.13,2225.83
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,112,128,2236.09,28.95,28.95,28.95,46.19,2424.77
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,128,128,2552.78,29.54,29.54,29.54,49.26,2598.46
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,256,128,5086.36,57.52,57.52,57.52,96.81,2644.35
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,128,512,128,10153.52,113.91,113.91,113.91,192.35,2661.81
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,1,128,25.66,24.84,24.88,24.86,24.86,40.23
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,4,128,98.38,24.95,25.13,25.04,25.18,158.86
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,16,128,335.9,25.39,26.13,25.76,26.37,606.75
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,24,128,494.25,25.69,26.8,26.24,27.16,883.65
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,28,128,573.43,25.84,27.13,26.48,27.55,1016.33
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,32,128,652.6,25.98,27.47,26.73,27.95,1144.9
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,48,128,969.3,26.58,28.8,27.69,29.53,1625.47
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,56,128,1127.65,26.87,29.47,28.17,30.32,1846.97
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,60,128,1206.82,27.02,29.8,28.41,30.71,1953.76
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,64,128,1285.99,27.17,30.14,28.65,31.11,2057.22
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,96,128,1919.39,28.36,32.81,30.58,34.27,2801.28
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,112,128,2236.09,28.95,34.14,31.54,35.85,3124.13
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,128,128,2552.78,29.54,35.48,32.51,37.43,3419.72
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,256,128,5086.36,57.52,69.39,63.45,73.26,3494.4
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,128,512,512,128,10153.52,113.91,137.65,125.76,145.34,3522.77
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,1,128,98.92,24.88,24.88,24.88,25.46,39.28
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,4,128,338.05,25.13,25.13,25.13,27.58,145.03
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,16,128,1294.58,26.13,26.13,26.13,36.04,443.95
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,24,128,1932.27,26.8,26.8,26.8,41.69,575.68
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,28,128,2251.11,27.13,27.13,27.13,44.51,629.07
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,32,128,2569.96,27.47,27.47,27.47,47.33,676.1
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,48,128,3845.33,28.8,28.8,28.8,58.62,818.83
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,56,128,4483.02,29.47,29.47,29.47,64.26,871.46
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,60,128,4801.86,29.8,29.8,29.8,67.09,894.32
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,64,128,5120.71,30.14,30.14,30.14,69.91,915.46
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,96,128,7671.46,32.81,32.81,32.81,92.49,1037.95
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,112,128,8946.83,34.14,34.14,34.14,103.77,1079.31
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,128,128,10222.21,35.48,35.48,35.48,115.06,1112.46
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,256,128,20425.21,69.39,69.39,69.39,228.42,1120.74
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,128,512,128,40831.22,137.65,137.65,137.65,455.57,1123.87
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,1,128,98.92,24.88,24.93,24.9,25.05,39.92
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,4,128,338.05,25.13,25.32,25.22,25.84,154.8
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,16,128,1294.58,26.13,26.87,26.5,28.98,552.1
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,24,128,1932.27,26.8,27.91,27.36,31.08,772.2
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,28,128,2251.11,27.13,28.43,27.78,32.12,871.73
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,32,128,2569.96,27.47,28.95,28.21,33.17,964.73
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,48,128,3845.33,28.8,31.03,29.91,37.37,1284.45
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,56,128,4483.02,29.47,32.07,30.77,39.46,1419.16
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,60,128,4801.86,29.8,32.59,31.19,40.51,1481.12
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,64,128,5120.71,30.14,33.11,31.62,41.56,1539.94
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,96,128,7671.46,32.81,37.26,35.03,49.94,1922.31
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,112,128,8946.83,34.14,39.34,36.73,54.14,2068.71
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,128,128,10222.21,35.48,41.41,38.44,58.33,2194.41
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,256,128,20425.21,69.39,81.26,75.31,115.06,2224.93
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,512,512,512,128,40831.22,137.65,161.38,149.49,228.95,2236.3
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,1,128,180.06,24.94,24.94,24.94,26.16,38.23
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,4,128,662.62,25.38,25.38,25.38,30.36,131.75
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,16,128,2592.85,27.12,27.12,27.12,47.17,339.2
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,24,128,3879.68,28.28,28.28,28.28,58.37,411.17
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,28,128,4523.09,28.87,28.87,28.87,63.98,437.64
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,32,128,5166.5,29.45,29.45,29.45,69.58,459.9
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,48,128,7740.15,31.77,31.77,31.77,91.99,521.8
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,56,128,9026.97,32.93,32.93,32.93,103.2,542.64
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,60,128,9670.39,33.51,33.51,33.51,108.8,551.47
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,64,128,10313.8,34.09,34.09,34.09,114.4,559.44
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,96,128,15461.1,38.74,38.74,38.74,159.23,602.9
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,112,128,18034.74,41.07,41.07,41.07,181.64,616.6
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,128,128,20608.39,43.39,43.39,43.39,204.05,627.3
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,256,128,41197.58,85.21,85.21,85.21,406.41,629.91
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,128,512,128,82375.96,169.29,169.29,169.29,811.53,630.91
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,1,128,180.06,24.94,24.99,24.97,25.27,39.57
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,4,128,662.62,25.38,25.56,25.47,26.72,149.7
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,16,128,2592.85,27.12,27.86,27.49,32.5,492.31
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,24,128,3879.68,28.28,29.4,28.84,36.36,660.07
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,28,128,4523.09,28.87,30.16,29.51,38.29,731.26
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,32,128,5166.5,29.45,30.93,30.19,40.22,795.62
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,48,128,7740.15,31.77,34.0,32.88,47.93,1001.46
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,56,128,9026.97,32.93,35.53,34.23,51.79,1081.29
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,60,128,9670.39,33.51,36.29,34.9,53.72,1116.9
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,64,128,10313.8,34.09,37.06,35.57,55.65,1150.04
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,96,128,15461.1,38.74,43.19,40.96,71.08,1350.59
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,112,128,18034.74,41.07,46.26,43.66,78.8,1421.32
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,128,128,20608.39,43.39,49.32,46.35,86.51,1479.6
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,256,128,41197.58,85.21,97.08,91.14,171.42,1493.41
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,1024,512,512,128,82375.96,169.29,193.03,181.14,341.67,1498.52
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,2048,128,1,128,346.64,25.07,25.07,25.07,27.58,36.26
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,2048,128,4,128,1328.93,25.87,25.87,25.87,36.05,110.96
Mixtral-8x7B,IntelGaudi2C,1,1,FP8,2048,128,16,128,5258.09,29.1,29.1,29.1,69.95,228.73
