Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,512,128,score@v,512,512,16.0,0.16,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,512,128,up(w1),512,512,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,512,128,down(w2),512,512,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,512,128,gate(w3),512,512,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,512,128,qkvo_proj,512,512,1024.0,0.62,280.8,1638.4,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,512,128,q@k_T,512,512,32.0,0.33,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,512,128,softmax,512,512,0.62,0.5,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,512,128,score@v,512,512,32.0,0.33,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,512,128,up(w1),512,512,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,512,128,down(w2),512,512,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,512,128,gate(w3),512,512,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,512,128,qkvo_proj,512,512,2048.0,1.12,280.8,1820.44,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,512,128,q@k_T,512,512,64.0,0.66,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,512,128,softmax,512,512,1.25,1.0,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,512,128,score@v,512,512,64.0,0.66,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,512,128,up(w1),512,512,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,512,128,down(w2),512,512,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,512,128,gate(w3),512,512,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,512,128,qkvo_proj,512,512,4096.0,2.12,280.8,1927.53,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,512,128,q@k_T,512,512,128.0,1.31,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,512,128,softmax,512,512,2.5,2.0,1.88,1.25,memory
